comparison_role,backend,scope,contexts,logit_count,logit_mean_absolute_error,logit_root_mean_square_error,logit_median_absolute_error,logit_p95_absolute_error,logit_p99_absolute_error,logit_maximum_absolute_error,logit_atol,logit_rtol,logit_within_tolerance_fraction,probability_mean_absolute_error,probability_maximum_absolute_error,total_variation_mean,total_variation_median,total_variation_p95,total_variation_maximum,jensen_shannon_mean,jensen_shannon_maximum,absolute_log_total_rate_error_mean,absolute_log_total_rate_error_maximum,top1_agreement,mean_top5_overlap,mean_top10_overlap,mask_cell_mismatches,total_variation_acceptance_failures,probability_acceptance_failures,log_total_rate_acceptance_failures
primary_browser_endpoint,ONNX Runtime Web Wasm,all_cohort_final,7143,9071610,2.880183170866708e-06,3.829697165916964e-06,1.905e-06,7.625e-06,1.1445e-05,3.0517578125e-05,0.0001,0.0001,1,1.0297816899369422e-09,1.1429345390112644e-06,6.539113731099583e-07,6.540865150928449e-07,8.524948302482978e-07,1.2724034788239615e-06,3.5899936982275745e-13,1.0917570442483653e-12,1.006934494111309e-06,4.856590718027576e-06,1,0.9999720005599888,1,0,0,0,0
primary_browser_endpoint,ONNX Runtime Web Wasm,stratified_all_positions,10178,12926060,2.839105879867796e-06,3.792581273681365e-06,1.905e-06,7.625e-06,1.1445e-05,3.0517578125e-05,0.0001,0.0001,1,7.712380747140178e-10,1.0519195443592366e-06,4.897361774434013e-07,5.571252669238685e-07,8.116713036535171e-07,1.1990394287434384e-06,2.581688350457424e-13,1.0071526397154188e-12,1.0470248436652655e-06,4.88734470671659e-06,1,1,1,0,0,0,0
primary_browser_endpoint,ONNX Runtime Web WebGPU,all_cohort_final,7143,9071610,5.896996415804759e-06,9.909695629178339e-06,3.815e-06,2.0985e-05,4.0055e-05,0.000164031982421875,0.0001,0.0001,1,2.21759664083358e-09,6.794135280485669e-06,1.408173866929323e-06,1.0128160101174082e-06,3.8602977278406065e-06,8.396933605209728e-06,2.5259441412600957e-12,5.902070413214341e-11,2.6006352283423284e-06,3.5168397598539514e-05,1,1,1,0,0,0,0
primary_browser_endpoint,ONNX Runtime Web WebGPU,stratified_all_positions,10178,12926060,2.8776176058030165e-06,4.1854619893926295e-06,1.905e-06,7.625e-06,1.3355e-05,0.0001468658447265625,0.0001,0.0001,1,9.665271997832505e-10,3.8112077759833163e-06,6.13744771862364e-07,6.243675808557253e-07,1.2512845342405254e-06,6.715924285735657e-06,4.870034249465303e-13,3.6856048385350266e-11,7.553961812541408e-07,2.1547082742934265e-05,1,1,1,0,0,0,0
conversion_diagnostic,ONNX Runtime Python CPU,all_cohort_final,7143,9071610,2.8581575718947086e-06,3.805238918615652e-06,1.9073486328125e-06,7.62939453125e-06,1.1444091796875e-05,3.0517578125e-05,0.0001,0.0001,1.0,1.0169244747925388e-09,9.75537641778601e-07,6.457470414932635e-07,6.452408395053129e-07,8.387920382997723e-07,1.2366543273047417e-06,3.507435694689724e-13,1.2198344559520522e-12,1.0003048353736606e-06,4.9230340426476005e-06,1.0,1.0,1.0,,,,
conversion_diagnostic,ONNX Runtime Python CPU,stratified_all_positions,10178,12926060,2.8563453112921648e-06,3.8101125019235786e-06,1.9073486328125e-06,7.62939453125e-06,1.1444091796875e-05,3.0517578125e-05,0.0001,0.0001,1.0,7.649037658997619e-10,9.453121581071144e-07,4.857138913463476e-07,5.507146839002907e-07,8.112432006780134e-07,1.1888606230504581e-06,2.5315164574283463e-13,9.876594686253083e-13,1.0655279761795683e-06,4.860755026037111e-06,1.0,1.0,1.0,,,,
