backend,cold_trials,cold_first_inference_context_length,session_initialization_median_ms,session_initialization_q1_ms,session_initialization_q3_ms,session_initialization_p95_ms,session_initialization_mean_ms,first_inference_median_ms,first_inference_q1_ms,first_inference_q3_ms,first_inference_p95_ms,first_inference_mean_ms,steady_state_warmups_per_context_length,steady_state_warmup_executions_total,steady_state_warmup_total_ms,model_bytes,sdk_bytes,labels_bytes,runtime_javascript_bytes,runtime_binary_bytes,first_use_payload_bytes,in_page_after_session_initialization_bytes,in_page_after_32_event_rollout_bytes,chrome_idle_rss_bytes,chrome_peak_rss_bytes,chrome_incremental_peak_rss_bytes,chrome_rss_samples,in_page_memory_method,rss_selection_method,rss_caveat
wasm,10,34,263.875,257.0050000003539,268.0099999997765,288.51574999988077,264.24150000009683,46.857499999925494,35.75625000009313,48.7237500003539,49.46150000002235,42.75149999987334,10,60,249.90500000491738,9758087,17970,362615,50069,13479978,23668719,44916063,45155027,924778496,1269071872,344293376,261,performance.measureUserAgentSpecificMemory(),Exclude pre-existing Chrome PIDs; sum newly appearing processes whose command contains Google Chrome; sample every 100 ms,"Not a parent/child traversal; can include unrelated newly launched Chrome processes, double-count shared pages, and does not isolate unified GPU memory"
webgpu,10,34,462.9474999997765,457.2525000004098,483.0674999989569,520.1979999997653,474.62349999956785,81.3125,71.5625,86.93500000005588,89.34850000012666,78.82649999987333,10,60,346.31999999657273,9758087,17970,362615,67169,26827543,37033384,38178751,38575681,928464896,1581449216,652984320,305,performance.measureUserAgentSpecificMemory(),Exclude pre-existing Chrome PIDs; sum newly appearing processes whose command contains Google Chrome; sample every 100 ms,"Not a parent/child traversal; can include unrelated newly launched Chrome processes, double-count shared pages, and does not isolate unified GPU memory"
